customer_id,tenure,Tenure_group,monthly_charges,total_charges,contract,payment_method,internet_service,tech_support,online_security,support_calls,churn,Churn_Value,Audit_Difference
1,52,4+ Years,54.20,2818.40,Month-to-month,Credit,DSL,No,Yes,1,No,0,$0.00
2,15,1-2 Years,35.28,529.20,Month-to-month,Debit,DSL,No,No,2,No,0,$0.00
3,72,4+ Years,78.24,5633.28,Month-to-month,Debit,DSL,No,No,0,No,0,$0.00
4,61,4+ Years,80.24,4894.64,One year,Cash,Fiber,Yes,Yes,0,No,0,$0.00
5,21,1-2 Years,39.38,826.98,Month-to-month,UPI,Fiber,No,No,4,Yes,1,$0.00
6,24,1-2 Years,39.66,951.84,Two year,Cash,Fiber,No,No,1,No,0,$0.00
7,3,0-1 Year,118.95,356.85,Month-to-month,Credit,DSL,No,No,2,Yes,1,$0.00
8,22,1-2 Years,44.33,975.26,Month-to-month,Debit,Fiber,Yes,Yes,0,No,0,$0.00
9,53,4+ Years,103.82,5502.46,Month-to-month,UPI,Fiber,Yes,Yes,1,No,0,$0.00
10,2,0-1 Year,67.03,134.06,Two year,Credit,DSL,No,Yes,2,No,0,$0.00
11,30,2-4 Years,63.50,1905.00,One year,Cash,DSL,No,Yes,1,No,0,$0.00
12,38,2-4 Years,49.50,1881.00,Month-to-month,Debit,Not_Specified,No,Yes,1,Yes,1,$0.00
13,2,0-1 Year,97.38,194.76,Month-to-month,Cash,DSL,No,Yes,2,Yes,1,$0.00
14,64,4+ Years,108.07,6916.48,Month-to-month,Debit,DSL,Yes,No,1,No,0,$0.00
15,60,4+ Years,46.11,2766.60,One year,Debit,Fiber,No,Yes,0,No,0,$0.00
16,21,1-2 Years,29.51,619.71,Month-to-month,UPI,DSL,No,No,1,No,0,$0.00
17,33,2-4 Years,33.69,1111.77,Month-to-month,Cash,Fiber,No,No,1,No,0,$0.00
18,58,4+ Years,99.28,5758.24,One year,Credit,Fiber,No,No,2,No,0,$0.00
